season,vaccine_strain,metric,dataset,strain_counts,subsample_id,dat
2013 - 2014,CA/09,Temporal,full,15,01,
2013 - 2014,CA/09,Temporal,full,15,02,
2013 - 2014,CA/09,Temporal,full,15,03,
2013 - 2014,CA/09,Temporal,full,15,04,
2013 - 2014,CA/09,Temporal,full,15,05,
2013 - 2014,CA/09,Temporal,full,15,06,
2013 - 2014,CA/09,Temporal,full,15,07,
2013 - 2014,CA/09,Temporal,full,15,08,
2013 - 2014,CA/09,Temporal,full,15,09,
2013 - 2014,CA/09,Temporal,full,15,10,
2013 - 2014,CA/09,Temporal,full,15,11,
2013 - 2014,CA/09,Temporal,full,15,12,
2013 - 2014,CA/09,Temporal,full,15,13,
2013 - 2014,CA/09,Temporal,full,15,14,
2013 - 2014,CA/09,Temporal,full,15,15,
2013 - 2014,CA/09,Temporal,full,15,16,
2013 - 2014,CA/09,Temporal,full,15,17,
2013 - 2014,CA/09,Temporal,full,15,18,
2013 - 2014,CA/09,Temporal,full,15,19,
2013 - 2014,CA/09,Temporal,full,15,20,
2013 - 2014,CA/09,Temporal,full,15,21,
2013 - 2014,CA/09,Temporal,full,15,22,
2013 - 2014,CA/09,Temporal,full,15,23,
2013 - 2014,CA/09,Temporal,full,15,24,
2013 - 2014,CA/09,Temporal,full,15,25,
2013 - 2014,CA/09,Cartographic,full,15,01,
2013 - 2014,CA/09,Cartographic,full,15,02,
2013 - 2014,CA/09,Cartographic,full,15,03,
2013 - 2014,CA/09,Cartographic,full,15,04,
2013 - 2014,CA/09,Cartographic,full,15,05,
2013 - 2014,CA/09,Cartographic,full,15,06,
2013 - 2014,CA/09,Cartographic,full,15,07,
2013 - 2014,CA/09,Cartographic,full,15,08,
2013 - 2014,CA/09,Cartographic,full,15,09,
2013 - 2014,CA/09,Cartographic,full,15,10,
2013 - 2014,CA/09,Cartographic,full,15,11,
2013 - 2014,CA/09,Cartographic,full,15,12,
2013 - 2014,CA/09,Cartographic,full,15,13,
2013 - 2014,CA/09,Cartographic,full,15,14,
2013 - 2014,CA/09,Cartographic,full,15,15,
2013 - 2014,CA/09,Cartographic,full,15,16,
2013 - 2014,CA/09,Cartographic,full,15,17,
2013 - 2014,CA/09,Cartographic,full,15,18,
2013 - 2014,CA/09,Cartographic,full,15,19,
2013 - 2014,CA/09,Cartographic,full,15,20,
2013 - 2014,CA/09,Cartographic,full,15,21,
2013 - 2014,CA/09,Cartographic,full,15,22,
2013 - 2014,CA/09,Cartographic,full,15,23,
2013 - 2014,CA/09,Cartographic,full,15,24,
2013 - 2014,CA/09,Cartographic,full,15,25,
2013 - 2014,CA/09,p-Epitope,full,15,01,
2013 - 2014,CA/09,p-Epitope,full,15,02,
2013 - 2014,CA/09,p-Epitope,full,15,03,
2013 - 2014,CA/09,p-Epitope,full,15,04,
2013 - 2014,CA/09,p-Epitope,full,15,05,
2013 - 2014,CA/09,p-Epitope,full,15,06,
2013 - 2014,CA/09,p-Epitope,full,15,07,
2013 - 2014,CA/09,p-Epitope,full,15,08,
2013 - 2014,CA/09,p-Epitope,full,15,09,
2013 - 2014,CA/09,p-Epitope,full,15,10,
2013 - 2014,CA/09,p-Epitope,full,15,11,
2013 - 2014,CA/09,p-Epitope,full,15,12,
2013 - 2014,CA/09,p-Epitope,full,15,13,
2013 - 2014,CA/09,p-Epitope,full,15,14,
2013 - 2014,CA/09,p-Epitope,full,15,15,
2013 - 2014,CA/09,p-Epitope,full,15,16,
2013 - 2014,CA/09,p-Epitope,full,15,17,
2013 - 2014,CA/09,p-Epitope,full,15,18,
2013 - 2014,CA/09,p-Epitope,full,15,19,
2013 - 2014,CA/09,p-Epitope,full,15,20,
2013 - 2014,CA/09,p-Epitope,full,15,21,
2013 - 2014,CA/09,p-Epitope,full,15,22,
2013 - 2014,CA/09,p-Epitope,full,15,23,
2013 - 2014,CA/09,p-Epitope,full,15,24,
2013 - 2014,CA/09,p-Epitope,full,15,25,
2014 - 2015,CA/09,Temporal,full,14,01,
2014 - 2015,CA/09,Temporal,full,14,02,
2014 - 2015,CA/09,Temporal,full,14,03,
2014 - 2015,CA/09,Temporal,full,14,04,
2014 - 2015,CA/09,Temporal,full,14,05,
2014 - 2015,CA/09,Temporal,full,14,06,
2014 - 2015,CA/09,Temporal,full,14,07,
2014 - 2015,CA/09,Temporal,full,14,08,
2014 - 2015,CA/09,Temporal,full,14,09,
2014 - 2015,CA/09,Temporal,full,14,10,
2014 - 2015,CA/09,Temporal,full,14,11,
2014 - 2015,CA/09,Temporal,full,14,12,
2014 - 2015,CA/09,Temporal,full,14,13,
2014 - 2015,CA/09,Temporal,full,14,14,
2014 - 2015,CA/09,Temporal,full,14,15,
2014 - 2015,CA/09,Temporal,full,14,16,
2014 - 2015,CA/09,Temporal,full,14,17,
2014 - 2015,CA/09,Temporal,full,14,18,
